method,macro_ppl,micro_ppl,routing_nmi,routing_acc,util_entropy,separation,swap_ratio,added_params,trainable_params,active_params,total_params
cbtm,3.2141714454310906,2.682936099949823,0.6256803020978137,0.564076858813701,0.6487749760648692,nan,nan,179526144,205172736,25646592,205172736
dense_1x,2.471917857517853,2.3760694885088958,0.6256803020978137,0.564076858813701,0.6487749760648692,nan,nan,0,25646592,25646592,25646592
dense_ceiling,2.4216281699282995,2.3259307366849886,0.6256803020978137,0.564076858813701,0.6487749760648692,nan,nan,0,143201792,143201792,143201792
moe_g1,2.591948298430094,2.488183364263828,0.6256803020978137,0.564076858813701,0.6487749760648692,nan,nan,117616640,143263232,25679360,143263232
moe_g2,2.3986407551297457,2.305954663128379,0.6256803020978137,0.564076858813701,0.6487749760648692,nan,nan,126078976,143328768,25716224,143328768
moe_oracle,2.588992003418328,2.469795895594998,0.6256803020978137,0.564076858813701,0.6487749760648692,nan,nan,117616640,143263232,25679360,143263232
ours_sup_alt,2.511309691418363,2.418349768824197,1.0,1.0,0.9621248821246046,1.1428569555282593,1.5041149840517851,4096,25650688,25647104,25650688
ours_sup_seq,2.4641566400194135,2.3698183871823466,1.0,1.0,0.9621248821246046,1.1428569853305817,1.0196183423079275,4096,25650688,25647104,25650688
ours_unsup_alt,2.554391177573528,2.4575930405134843,0.6205668099597947,0.5620718462823726,0.6281313837722622,1.14285708963871,1.0574003947408575,270856,25917448,25913864,25917448
ours_unsup_seq,2.4762419807161695,2.3811617699381076,0.6130188065157031,0.5634085213032581,0.6244668549405784,1.1428570598363876,1.0456141873697842,270856,25917448,25913864,25917448
